,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
13817,13817,-4506762.774192602,-4507047.8971076775,-1971479.93683613,1615.5946483584216,1614.5946393077697,-7384.322739657434,50.5,6671668.644977579,0,0.0008699998902495042,2.312449590332802,0,0.00033170567581480116,0,0,0.6968328318897807,0.9746405636710892
13818,13818,-4505144.155294985,-4505430.278027533,-1978862.9348067744,1621.6427847847374,1620.64315911355,-7381.671549984695,50.5,6671668.633640311,0,0.0008699998902495042,2.3121206126010083,0,0.0003316049619195389,0,0,0.7095453692713621,0.9784197450402926
13819,13819,-4503519.489348572,-4503806.611514542,-1986243.2766333998,1627.6887445950267,1626.689503645058,-7379.010452213771,50.5,6671668.622306488,0,0.0008699998902495042,2.31179050542957,0,0.00033150393718546495,0,0,0.704468381235276,0.9766279817189735
13820,13820,-4501888.778534038,-4502176.899748039,-1993620.9524096928,1633.732519674038,1632.733664786526,-7376.339449916396,50.5,6671668.610976123,0,0.0008699998902495042,2.3114592702486165,0,0.0003314026024468768,0,0,0.7215225814979487,0.9813669292092001
13821,13821,-4500252.025040171,-4500541.144915471,-2000995.9522329185,1639.7741019094515,1638.7756344251163,-7373.658546677602,50.5,6671668.59964923,0,0.0008699998902495042,2.3111269084909347,0,0.0003313009585400718,0,0,0.7604443419570633,0.990735017828339
13822,13822,-4498609.23106387,-4498899.349212394,-2008368.2662039334,1645.8134831918908,1644.8154044509322,-7370.967746095709,50.5,6671668.588325814,0,0.0008699998902495042,2.310793421591945,0,0.00033119900630335195,0,0,0.6688787449171437,0.9643006613903091
13823,13823,-4496960.398810141,-4497251.514842476,-2015737.8844271991,1651.8506554149337,1650.85296675703,-7368.267051782322,50.5,6671668.57700589,0,0.0008699998902495042,2.3104588109896733,0,0.000331096746577048,0,0,0.7119550809120678,0.9783452889419736
13824,13824,-4495305.530492094,-4495597.644017488,-2023104.7970107957,1657.885610475123,1656.8883132394285,-7365.556467362326,50.5,6671668.565689469,0,0.0008699998902495042,2.3101230781247333,0,0.00033099418020343603,0,0,0.6824306130306133,0.9687155974389356
13825,13825,-4493644.628330945,-4493937.7389573045,-2030468.9940664342,1663.918340271977,1662.921435797121,-7362.83599647388,50.5,6671668.554376557,0,0.0008699998902495042,2.3097862244402974,0,0.0003308913080268154,0,0,0.7279639086364706,0.9824267421821147
13826,13826,-4491977.694556004,-4492271.801889901,-2037830.465709471,1669.948836708001,1668.9523263320852,-7360.105642768416,50.5,6671668.5430671675,0,0.0008699998902495042,2.309448251382072,0,0.00033078813089340656,0,0,0.7240443994997849,0.9811858264768922
