,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_side,eff_back
5139,5139,4464600.60989116,4464323.272642386,-2156230.893259896,1765.9024879679214,1766.905427854952,7314.658684450182,53.099999999999994,6671749.094835635,1,0.0008699998902495042,0.8376910222776105,0,0.00032782093429539635,0,0,0
5140,5140,4466363.515774018,4466087.181651029,-2148914.789160433,1759.9088833840847,1760.9121948412267,7317.54787785345,53.099999999999994,6671749.084176193,1,0.0008699998902495042,0.8373353809640633,0,0.0003279286255520123,0,0,0
5141,5141,4468120.426870542,4467845.096244234,-2141595.8007780784,1753.9129166396508,1754.916598320252,7320.427249588897,53.099999999999994,6671749.073513258,1,0.0008699998902495042,0.8369808355779188,0,0.00032803602695808597,0,0,0
5142,5142,4469871.340822593,4469597.014062516,-2134273.937936433,1747.9145957824678,1748.9186463393792,7323.296795791806,53.099999999999994,6671749.062846834,1,0.0008699998902495042,0.8366273876020307,0,0.0003281431376404367,0,0,0
5143,5143,4471616.255280086,4471342.932754443,-2126949.210462956,1741.9139288635433,1742.9183469491206,7326.156512610648,53.099999999999994,6671749.052176929,1,0.0008699998902495042,0.8362750385171008,0,0.00032824995672765974,0,0,0
5144,5144,4473355.167900984,4473082.84997663,-2119621.628188953,1735.910923937034,1736.91570820314,7329.006396207085,53.099999999999994,6671749.041503558,1,0.0008699998902495042,0.8359237898016567,0,0.00032835648335006806,0,0,0
5145,5145,4475088.076351309,4474816.7633937495,-2112291.200949558,1729.905589060235,1730.91073815824,7331.84644275598,53.099999999999994,6671749.030826727,1,0.0008699998902495042,0.8355736429320255,0,0.0003284627166398416,0,0,0
5146,5146,4476814.978305141,4476544.670678533,-2104957.9385837275,1723.8979322935675,1724.9034448743535,7334.676648445398,53.099999999999994,6671749.020146445,1,0.0008699998902495042,0.8352245993823131,0,0.0003285686557308902,0,0,0
5147,5147,4478535.871444621,4478266.569511772,-2097621.8509342205,1717.8879617005703,1718.8938364145306,7337.497009476614,53.099999999999994,6671749.009462726,1,0.0008699998902495042,0.834876660624378,0,0.0003286742997589365,0,0,0
5148,5148,4480250.753459956,4479982.457582325,-2090282.9478475892,1711.8756853478874,1712.8819208449295,7340.307522064115,53.099999999999994,6671748.998775579,1,0.0008699998902495042,0.8345298281278087,0,0.0003287796478615846,0,0,0
5149,5149,4481959.62204942,4481692.3325871155,-2082941.2391741644,1705.8611113052575,1706.8677062348045,7343.108182435608,53.099999999999994,6671748.988085011,1,0.0008699998902495042,0.834184103359899,0,0.00032888469917819607,0,0,0
5150,5150,4483662.47491936,4483396.192231139,-2075596.734768043,1699.8442476455034,1700.8512006564958,7345.898986832023,53.099999999999994,6671748.9773910325,1,0.0008699998902495042,0.8338394877856241,0,0.0003289894528500535,0,0,0
5151,5151,4485359.309784197,4485094.034227464,-2068249.4444870742,1693.825102444521,1694.8324121854191,7348.6799315075195,53.099999999999994,6671748.966693653,1,0.0008699998902495042,0.8334959828676172,0,0.00032909390802024176,0,0,0
5152,5152,4487050.124366429,4486785.856297238,-2060899.378192846,1687.8036837812683,1688.8113489000534,7351.451012729491,53.099999999999994,6671748.95599288,1,0.0008699998902495042,0.8331535900661449,0,0.00032919806383373864,0,0,0
5153,5153,4488734.916396633,4488471.6561696865,-2053546.545750673,1681.779999737755,1682.7880188819313,7354.212226778568,53.099999999999994,6671748.94528873,1,0.0008699998902495042,0.832812310839083,0,0.00032930191943739655,0,0,0
5154,5154,4490413.683613473,4490151.431582119,-2046190.957029582,1675.754058399031,1676.7624302156278,7356.963569948628,53.099999999999994,6671748.934581209,1,0.0008699998902495042,0.8324721466418927,0,0.00032940547397997875,0,0,0
5155,5155,4492086.423763695,4491825.180279931,-2038832.6219022998,1669.7258678531764,1670.7345909887492,7359.705038546795,53.099999999999994,6671748.923870322,1,0.0008699998902495042,0.8321330989275963,0,0.00032950872661214914,0,0,0
5156,5156,4493753.13460214,4493492.900016607,-2031471.5502452392,1663.69543619129,1664.704509291923,7362.436628893447,53.099999999999994,6671748.913156086,1,0.0008699998902495042,0.8317951691467531,0,0.0003296116764864401,0,0,0
5157,5157,4495413.813891737,4495154.588553723,-2024107.7519384858,1657.6627715074783,1658.672193218786,7365.158337322223,53.099999999999994,6671748.9024385065,1,0.0008699998902495042,0.8314583587474343,0,0.0003297143227574039,0,0,0
5158,5158,4497068.459403513,4496810.243660951,-2016741.2368657852,1651.6278818988455,1652.6376508659746,7367.870160180023,53.099999999999994,6671748.891717597,1,0.0008699998902495042,0.8311226691752002,0,0.00032981666458145977,0,0,0
5159,5159,4498717.068916593,4498459.863116061,-2009372.0149145294,1645.5907754654818,1646.6008903331126,7370.572093827017,53.099999999999994,6671748.880993363,1,0.0008699998902495042,0.8307881018730747,0,0.00032991870111703174,0,0,0
5160,5160,4500359.640218203,4500103.444704925,-2002000.0959757436,1639.5514603104525,1640.5619197228016,7373.264134636648,53.099999999999994,6671748.870265815,1,0.0008699998902495042,0.8304546582815212,0,0.00033002043152445635,0,0,0
5161,5161,4501996.171103675,4501740.9862215165,-1994625.4899440731,1633.5099445397882,1634.520747140609,7375.946278995639,53.099999999999994,6671748.8595349705,1,0.0008699998902495042,0.8301223398384191,0,0.0003301218549661067,0,0,0
5162,5162,4503626.659376447,4503372.485467918,-1987248.2067177694,1627.4662362624724,1628.4773806950584,7378.618523303992,53.099999999999994,6671748.8488008315,1,0.0008699998902495042,0.8297911479790372,0,0.00033022297060630016,0,0,0
5163,5163,4505251.102848069,4504997.940254322,-1979868.2561986777,1621.420343590432,1622.4318284976173,7381.280863975003,53.099999999999994,6671748.83806341,1,0.0008699998902495042,0.8294610841360117,0,0.0003303237776113757,0,0,0
5164,5164,4506869.499338202,4506617.348399034,-1972485.6482922232,1615.3722746385251,1616.3840986626872,7383.933297435255,53.099999999999994,6671748.827322711,1,0.0008699998902495042,0.8291321497393208,0,0.0003304242751496819,0,0,0
5165,5165,4508481.846674626,4508230.707728474,-1965100.3929073978,1609.3220375245314,1610.3341993075924,7386.575820124632,53.099999999999994,6671748.816578757,1,0.0008699998902495042,0.8288043462162592,0,0.0003305244623915937,0,0,0
5166,5166,4510088.142693237,4509838.016077183,-1957712.4999567468,1603.2696403691405,1604.2821385525692,7389.20842849632,53.099999999999994,6671748.80583155,1,0.0008699998902495042,0.8284776749914152,0,0.0003306243385095287,0,0,0
5167,5167,4511688.385238058,4511439.271287821,-1950321.9793563557,1597.215091295941,1598.2279245207549,7391.831119016812,53.099999999999994,6671748.7950810995,1,0.0008699998902495042,0.8281521374866445,0,0.0003307239026779482,0,0,0
5168,5168,4513282.572161232,4513034.4712111745,-1942928.841025837,1591.15839843141,1592.1715653381766,7394.4438881659125,53.099999999999994,6671748.784327417,1,0.0008699998902495042,0.8278277351210473,0,0.0003308231540733471,0,0,0
5169,5169,4514870.701323033,4514623.613706157,-1935533.0948883167,1585.099569904902,1586.113069133741,7397.046732436743,53.099999999999994,6671748.773570513,1,0.0008699998902495042,0.827504469310942,0,0.00033092209187434444,0,0,0
5170,5170,4516452.770591865,4516206.696639812,-1928134.7508704208,1579.0386138486379,1580.052444039223,7399.639648335746,53.099999999999994,6671748.762810399,1,0.0008699998902495042,0.8271823414698419,0,0.0003310207152616036,0,0,0
5171,5171,4518028.777844266,4517783.717887317,-1920733.8189022627,1572.975538397694,1573.9896981892548,7402.22263238269,53.099999999999994,6671748.752047084,1,0.0008699998902495042,0.8268613530084293,0,0.00033111902341789013,0,0,0
